"DATEKEY","DATEVALUE","CYEAR","CQTR","CMONTH","DAYNO","STARTOFMONTH","ENDOFMONTH","MONTHNAME","DAYOFWEEKNAME"
20130823,2013-08-23,2013,3,8,23,2013-08-01,2013-08-31,"AUGUST   ","FRI"
20130824,2013-08-24,2013,3,8,24,2013-08-01,2013-08-31,"AUGUST   ","SAT"
20130825,2013-08-25,2013,3,8,25,2013-08-01,2013-08-31,"AUGUST   ","SUN"
20130826,2013-08-26,2013,3,8,26,2013-08-01,2013-08-31,"AUGUST   ","MON"
20130827,2013-08-27,2013,3,8,27,2013-08-01,2013-08-31,"AUGUST   ","TUE"
20130828,2013-08-28,2013,3,8,28,2013-08-01,2013-08-31,"AUGUST   ","WED"
20130829,2013-08-29,2013,3,8,29,2013-08-01,2013-08-31,"AUGUST   ","THU"
20130830,2013-08-30,2013,3,8,30,2013-08-01,2013-08-31,"AUGUST   ","FRI"
20130831,2013-08-31,2013,3,8,31,2013-08-01,2013-08-31,"AUGUST   ","SAT"
20130901,2013-09-01,2013,3,9,1,2013-09-01,2013-09-30,"SEPTEMBER","SUN"
20130902,2013-09-02,2013,3,9,2,2013-09-01,2013-09-30,"SEPTEMBER","MON"
20130903,2013-09-03,2013,3,9,3,2013-09-01,2013-09-30,"SEPTEMBER","TUE"
20130904,2013-09-04,2013,3,9,4,2013-09-01,2013-09-30,"SEPTEMBER","WED"
20130905,2013-09-05,2013,3,9,5,2013-09-01,2013-09-30,"SEPTEMBER","THU"
20130906,2013-09-06,2013,3,9,6,2013-09-01,2013-09-30,"SEPTEMBER","FRI"
20130907,2013-09-07,2013,3,9,7,2013-09-01,2013-09-30,"SEPTEMBER","SAT"
20130908,2013-09-08,2013,3,9,8,2013-09-01,2013-09-30,"SEPTEMBER","SUN"
20130909,2013-09-09,2013,3,9,9,2013-09-01,2013-09-30,"SEPTEMBER","MON"
20130910,2013-09-10,2013,3,9,10,2013-09-01,2013-09-30,"SEPTEMBER","TUE"
20130911,2013-09-11,2013,3,9,11,2013-09-01,2013-09-30,"SEPTEMBER","WED"
20130912,2013-09-12,2013,3,9,12,2013-09-01,2013-09-30,"SEPTEMBER","THU"
20130913,2013-09-13,2013,3,9,13,2013-09-01,2013-09-30,"SEPTEMBER","FRI"
20130914,2013-09-14,2013,3,9,14,2013-09-01,2013-09-30,"SEPTEMBER","SAT"
20130915,2013-09-15,2013,3,9,15,2013-09-01,2013-09-30,"SEPTEMBER","SUN"
20130916,2013-09-16,2013,3,9,16,2013-09-01,2013-09-30,"SEPTEMBER","MON"
20130917,2013-09-17,2013,3,9,17,2013-09-01,2013-09-30,"SEPTEMBER","TUE"
20130918,2013-09-18,2013,3,9,18,2013-09-01,2013-09-30,"SEPTEMBER","WED"
20130919,2013-09-19,2013,3,9,19,2013-09-01,2013-09-30,"SEPTEMBER","THU"
20130920,2013-09-20,2013,3,9,20,2013-09-01,2013-09-30,"SEPTEMBER","FRI"
20130921,2013-09-21,2013,3,9,21,2013-09-01,2013-09-30,"SEPTEMBER","SAT"
20130922,2013-09-22,2013,3,9,22,2013-09-01,2013-09-30,"SEPTEMBER","SUN"
20130923,2013-09-23,2013,3,9,23,2013-09-01,2013-09-30,"SEPTEMBER","MON"
20130924,2013-09-24,2013,3,9,24,2013-09-01,2013-09-30,"SEPTEMBER","TUE"
20130925,2013-09-25,2013,3,9,25,2013-09-01,2013-09-30,"SEPTEMBER","WED"
20130926,2013-09-26,2013,3,9,26,2013-09-01,2013-09-30,"SEPTEMBER","THU"
20130927,2013-09-27,2013,3,9,27,2013-09-01,2013-09-30,"SEPTEMBER","FRI"
20130928,2013-09-28,2013,3,9,28,2013-09-01,2013-09-30,"SEPTEMBER","SAT"
20130929,2013-09-29,2013,3,9,29,2013-09-01,2013-09-30,"SEPTEMBER","SUN"
20130930,2013-09-30,2013,3,9,30,2013-09-01,2013-09-30,"SEPTEMBER","MON"
20131001,2013-10-01,2013,4,10,1,2013-10-01,2013-10-31,"OCTOBER  ","TUE"
20131002,2013-10-02,2013,4,10,2,2013-10-01,2013-10-31,"OCTOBER  ","WED"
20131003,2013-10-03,2013,4,10,3,2013-10-01,2013-10-31,"OCTOBER  ","THU"
20131004,2013-10-04,2013,4,10,4,2013-10-01,2013-10-31,"OCTOBER  ","FRI"
20131005,2013-10-05,2013,4,10,5,2013-10-01,2013-10-31,"OCTOBER  ","SAT"
20131006,2013-10-06,2013,4,10,6,2013-10-01,2013-10-31,"OCTOBER  ","SUN"
20131007,2013-10-07,2013,4,10,7,2013-10-01,2013-10-31,"OCTOBER  ","MON"
